solver,polydeg,cells_per_dimension,entropy,time
dgsem,3,64,"[-0.6302122830230725, -0.6302122832082276, -0.6302122833271613, -0.6302122834105528, -0.6302122837973771, -0.6302122841980735, -0.6302122847008599, -0.6302122854277444, -0.6302122862997022, -0.6302122875050249, -0.630212289255093, -0.6302122915729111, -0.6302122950100448, -0.6302122997630514, -0.630212306308144, -0.6302123157022432, -0.6302123289274675, -0.630212347775185, -0.6302123750903968, -0.630212414071343, -0.6302124690557662, -0.6302125453349818, -0.6302126477944925, -0.6302127836028765, -0.6302129611241092, -0.6302131906393689, -0.6302134833843225, -0.6302138532512778, -0.6302143164527152, -0.630214899638752, -0.6302156549261044, -0.6302166715561879, -0.6302180723551964, -0.6302200039959402, -0.6302226323564958, -0.6302261440587886, -0.6302307578839482, -0.6302367425438004, -0.6302443836042528, -0.6302538769848907, -0.6302653611314528, -0.6302790322665812, -0.6302953992937087, -0.6303158188111975, -0.630341591992811, -0.6303724240413697, -0.6304100767490453, -0.6304575576295537, -0.630511870800071, -0.6305710694479252, -0.6306403565812438, -0.6307218347410063, -0.6308121368742519, -0.6309124273735631, -0.6310245346586053, -0.6311489487603736, -0.6312890788989727, -0.6314418292627059, -0.631603080494106, -0.631780573209184, -0.6319642191711135, -0.632160689246696, -0.6323619111224544, -0.6325697468152691, -0.632776792333346, -0.6329882012157966, -0.6331910174089452, -0.6334018539631721, -0.6336100285453876, -0.6338245876483786, -0.6340476133421338, -0.6342848362136848, -0.6345281558627524, -0.634799207035617, -0.6350817084865676, -0.635395539523889, -0.6357274791234295, -0.6360741119645292, -0.6364586399068515, -0.6368515347259375, -0.6372668040957231, -0.6377104287718203, -0.6381798717129092, -0.6386759198634189, -0.6391904984258737, -0.6397277978505471, -0.6402908109054117, -0.6408933757802121, -0.6414963988951898, -0.6421242135340955, -0.6427530750078486, -0.6433779290245067, -0.6439965765484527, -0.6446347558632073, -0.6453136550020337, -0.6460470438513801, -0.6468086788341829, -0.6476189893351993, -0.6484722974393508, -0.6494220065028864]", "[0.0, 0.04001818181818182, 0.08003636363636364, 0.12005454545454547, 0.16007272727272728, 0.2000909090909091, 0.24010909090909094, 0.2801272727272727, 0.32014545454545457, 0.3601636363636364, 0.4001818181818182, 0.4402, 0.4802181818181819, 0.5202363636363637, 0.5602545454545454, 0.6002727272727273, 0.6402909090909091, 0.680309090909091, 0.7203272727272728, 0.7603454545454545, 0.8003636363636364, 0.8403818181818182, 0.8804, 0.9204181818181818, 0.9604363636363638, 1.0004545454545455, 1.0404727272727274, 1.0804909090909092, 1.120509090909091, 1.1605272727272729, 1.2005454545454546, 1.2405636363636365, 1.2805818181818183, 1.3206, 1.360618181818182, 1.4006363636363637, 1.4406545454545456, 1.4806727272727274, 1.520690909090909, 1.5607090909090908, 1.6007272727272728, 1.6407454545454547, 1.6807636363636365, 1.7207818181818184, 1.7608, 1.8008181818181819, 1.8408363636363636, 1.8808545454545456, 1.9208727272727275, 1.9608909090909092, 2.000909090909091, 2.0409272727272727, 2.080945454545455, 2.1209636363636366, 2.1609818181818183, 2.201, 2.241018181818182, 2.281036363636364, 2.3210545454545457, 2.361072727272727, 2.401090909090909, 2.441109090909091, 2.481127272727273, 2.521145454545455, 2.5611636363636365, 2.6011818181818183, 2.6412, 2.681218181818182, 2.721236363636364, 2.7612545454545456, 2.8012727272727274, 2.841290909090909, 2.8813090909090913, 2.921327272727273, 2.9613454545454547, 3.0013636363636365, 3.041381818181818, 3.0814000000000004, 3.1214181818181816, 3.161436363636364, 3.2014545454545456, 3.2414727272727277, 3.2814909090909095, 3.3215090909090907, 3.361527272727273, 3.4015454545454546, 3.441563636363637, 3.4815818181818186, 3.5216, 3.561618181818182, 3.6016363636363637, 3.641654545454546, 3.681672727272727, 3.7216909090909094, 3.761709090909091, 3.801727272727273, 3.841745454545455, 3.8817636363636363, 3.9217818181818185, 3.9618]"
dgsem,7,32,"[-0.6302122828947443, -0.6302122828978234, -0.6302122828951575, -0.6302122828950724, -0.6302122828950862, -0.6302122828951237, -0.6302122828951536, -0.630212282895181, -0.6302122828951983, -0.630212282895259, -0.6302122828956374, -0.6302122828967063, -0.6302122828983378, -0.6302122828995256, -0.6302122828990167, -0.630212282898482, -0.6302122829029848, -0.6302122829074392, -0.6302122829100647, -0.630212282924153, -0.6302122829411814, -0.6302122829711169, -0.6302122830247898, -0.6302122831165717, -0.6302122832670491, -0.6302122835091517, -0.6302122838985948, -0.6302122845359662, -0.6302122855936676, -0.6302122873330659, -0.6302122900816178, -0.6302122941340749, -0.6302122997763263, -0.6302123075509051, -0.6302123187756152, -0.6302123361937344, -0.6302123645093265, -0.6302124101979406, -0.630212480818938, -0.6302125849525795, -0.6302127338367466, -0.6302129439495014, -0.6302132390432293, -0.6302136535767083, -0.6302142336722559, -0.6302150337856056, -0.6302161225675522, -0.6302176336379035, -0.6302198694434946, -0.6302233050592037, -0.6302285371730234, -0.6302361446630109, -0.6302463088975354, -0.6302599769433466, -0.630277948691542, -0.6302985371633834, -0.6303213478747124, -0.6303466284533896, -0.6303741320055443, -0.6304039598184912, -0.6304362616319298, -0.6304721854244002, -0.6305123084538025, -0.6305569911144356, -0.6306102244925698, -0.6306716598480939, -0.6307441795179927, -0.6308243047943511, -0.6309157926864363, -0.6310137908186222, -0.6311189045252701, -0.6312269174768448, -0.6313351784251066, -0.6314459572369706, -0.6315527781441257, -0.631659743797829, -0.6317634119264949, -0.6318638425467803, -0.6319657166986997, -0.6320680163691151, -0.6321764883999972, -0.6322844581609712, -0.6323950488186734, -0.6325107231312774, -0.6326301933180883, -0.6327586104503506, -0.6328990284296969, -0.6330568356834936, -0.6332215078184106, -0.6333907383724879, -0.6335691648080989, -0.6337357099544838, -0.6339048667641324, -0.6340887380149249, -0.6342622052409924, -0.6344597467330311, -0.6346996104705772, -0.6349949037649295, -0.6353051217466714, -0.6356441756605976]", "[0.0, 0.03472727272727273, 0.06945454545454546, 0.1041818181818182, 0.13890909090909093, 0.17363636363636364, 0.2083636363636364, 0.24309090909090908, 0.27781818181818185, 0.31254545454545457, 0.3472727272727273, 0.382, 0.4167272727272728, 0.4514545454545455, 0.48618181818181816, 0.520909090909091, 0.5556363636363637, 0.5903636363636364, 0.6250909090909091, 0.6598181818181819, 0.6945454545454546, 0.7292727272727273, 0.764, 0.7987272727272727, 0.8334545454545456, 0.8681818181818183, 0.902909090909091, 0.9376363636363636, 0.9723636363636363, 1.007090909090909, 1.041818181818182, 1.0765454545454547, 1.1112727272727274, 1.146, 1.1807272727272728, 1.2154545454545456, 1.2501818181818183, 1.284909090909091, 1.3196363636363637, 1.3543636363636364, 1.3890909090909092, 1.4238181818181819, 1.4585454545454546, 1.4932727272727275, 1.528, 1.5627272727272727, 1.5974545454545455, 1.6321818181818182, 1.6669090909090911, 1.7016363636363638, 1.7363636363636366, 1.771090909090909, 1.805818181818182, 1.8405454545454547, 1.8752727272727272, 1.9100000000000001, 1.9447272727272726, 1.9794545454545458, 2.014181818181818, 2.048909090909091, 2.083636363636364, 2.1183636363636364, 2.1530909090909094, 2.187818181818182, 2.222545454545455, 2.2572727272727273, 2.292, 2.3267272727272728, 2.3614545454545457, 2.3961818181818186, 2.430909090909091, 2.4656363636363636, 2.5003636363636366, 2.535090909090909, 2.569818181818182, 2.6045454545454545, 2.6392727272727274, 2.6740000000000004, 2.708727272727273, 2.743454545454546, 2.7781818181818183, 2.8129090909090912, 2.8476363636363637, 2.8823636363636362, 2.917090909090909, 2.9518181818181817, 2.986545454545455, 3.0212727272727276, 3.056, 3.090727272727273, 3.1254545454545455, 3.1601818181818184, 3.194909090909091, 3.229636363636364, 3.2643636363636364, 3.2990909090909093, 3.3338181818181822, 3.3685454545454547, 3.4032727272727277, 3.438]"
gauss,3,64,"[-0.6302122828985939, -0.6302123007386876, -0.6302123173691229, -0.6302123352667335, -0.6302123549914802, -0.6302123771063661, -0.6302124043746177, -0.6302124427842721, -0.6302125025701144, -0.6302126031949258, -0.6302127822743926, -0.6302131073902533, -0.6302136744975088, -0.6302146120902329, -0.6302160748454779, -0.6302182385994664, -0.6302216449038875, -0.6302277888237424, -0.6302391153450538, -0.6302585016294857, -0.6302915379624412, -0.6303455644397934, -0.6304249032891862, -0.6305583742005886, -0.6307602009382892, -0.6310011721835046, -0.6313323105256615, -0.6316836303462907, -0.6321328724628458, -0.63259059678896, -0.6331055182065359, -0.6336592415930058, -0.6342545161148951, -0.634887745161827, -0.635592640778616, -0.6363467099216565, -0.6371650345203491, -0.6380852145700233, -0.6391977725269568, -0.6403766961323651, -0.6418759791334515, -0.6436166726160651, -0.6455016343200869, -0.6475925393876902, -0.6499496936380798, -0.6526077421306016, -0.655832790245177, -0.6594126470535959, -0.6632356000868387, -0.6675300775902961, -0.6725986772219279, -0.6782709220823212, -0.6840405185951177, -0.6902539825861479, -0.6964094206101613, -0.7026422645717145, -0.7090523498679215, -0.7156402415036505, -0.7226520883327094, -0.7302823884814102, -0.7385104695811382, -0.7478989597309228, -0.7578014587429253, -0.7679977978656904, -0.7781851903998078, -0.7882793263981464, -0.798151056665963, -0.8076270639363932, -0.8171918288009399, -0.8263334310438034, -0.8351976843294525, -0.8441641507915592, -0.8523203312233342, -0.8600273567332087, -0.8671482064919211, -0.8739356899291886, -0.8804505189025436, -0.8865197407091827, -0.8923094915320611, -0.8980799204953658, -0.9038411573293276, -0.9096203808115385, -0.9151485124839261, -0.9202500718562521, -0.9252519315734278, -0.9298957387348974, -0.9340991235092254, -0.9381991724980672, -0.9421557323514522, -0.9459919278363882, -0.9496529545466676, -0.9533139512108675, -0.9570349955126518, -0.9607184396455926, -0.9644835362255224, -0.9681151125075067, -0.9717392831866036, -0.9752821078856311, -0.9788708779510223, -0.9822849533956692]", "[0.0, 0.07575757575757576, 0.15151515151515152, 0.2272727272727273, 0.30303030303030304, 0.3787878787878788, 0.4545454545454546, 0.5303030303030303, 0.6060606060606061, 0.6818181818181819, 0.7575757575757576, 0.8333333333333333, 0.9090909090909092, 0.984848484848485, 1.0606060606060606, 1.1363636363636365, 1.2121212121212122, 1.2878787878787878, 1.3636363636363638, 1.4393939393939392, 1.5151515151515151, 1.590909090909091, 1.6666666666666665, 1.7424242424242424, 1.8181818181818183, 1.893939393939394, 1.96969696969697, 2.0454545454545454, 2.121212121212121, 2.196969696969697, 2.272727272727273, 2.3484848484848486, 2.4242424242424243, 2.5, 2.5757575757575757, 2.6515151515151514, 2.7272727272727275, 2.803030303030303, 2.8787878787878785, 2.9545454545454546, 3.0303030303030303, 3.106060606060606, 3.181818181818182, 3.257575757575758, 3.333333333333333, 3.409090909090909, 3.484848484848485, 3.5606060606060606, 3.6363636363636367, 3.7121212121212124, 3.787878787878788, 3.8636363636363633, 3.93939393939394, 4.015151515151516, 4.090909090909091, 4.166666666666667, 4.242424242424242, 4.318181818181818, 4.393939393939394, 4.46969696969697, 4.545454545454546, 4.621212121212121, 4.696969696969697, 4.7727272727272725, 4.848484848484849, 4.924242424242424, 5.0, 5.075757575757576, 5.151515151515151, 5.2272727272727275, 5.303030303030303, 5.378787878787879, 5.454545454545455, 5.53030303030303, 5.606060606060606, 5.681818181818182, 5.757575757575757, 5.833333333333333, 5.909090909090909, 5.984848484848485, 6.0606060606060606, 6.136363636363637, 6.212121212121212, 6.287878787878787, 6.363636363636364, 6.4393939393939394, 6.515151515151516, 6.590909090909091, 6.666666666666666, 6.742424242424242, 6.818181818181818, 6.8939393939393945, 6.96969696969697, 7.045454545454546, 7.121212121212121, 7.196969696969696, 7.272727272727273, 7.348484848484849, 7.424242424242425, 7.5]"
gauss,7,32,"[-0.630212282893848, -0.6302122828948542, -0.6302122828951597, -0.6302122828957948, -0.6302122828967804, -0.6302122828987948, -0.6302122829036702, -0.6302122829171823, -0.6302122829667578, -0.6302122831397463, -0.6302122836923272, -0.6302122854316152, -0.6302122908064459, -0.6302123077769773, -0.6302123614253825, -0.6302124909586831, -0.6302127502848874, -0.6302133464540063, -0.6302147308279424, -0.6302175800840037, -0.6302236366200262, -0.630237103107187, -0.630264204378337, -0.6303274677387102, -0.6304277907255722, -0.6305742145082095, -0.6307517661549038, -0.6309755469111871, -0.6312518969244714, -0.6315937042438463, -0.6320033808860647, -0.6324709516502356, -0.6329098138283611, -0.633392008485427, -0.6338985538459508, -0.6344368494556158, -0.6350955071891401, -0.6360541568082143, -0.6370591089846854, -0.6382990258672521, -0.6397556703970195, -0.6414471656517102, -0.6434442378189112, -0.6456882004260001, -0.648397921912375, -0.6518473251455079, -0.6563820923166632, -0.6613651704830719, -0.6670216207510506, -0.6736297316126889, -0.6809263676706592, -0.6893268782617181, -0.6975080893166241, -0.7068114632936777, -0.7159373321449516, -0.7256968928005252, -0.7366035739101529, -0.7486779565179484, -0.7604334714635123, -0.7731931122261062, -0.7864516426214613, -0.7992345883448789, -0.8121962432407184, -0.8240427887671046, -0.8351502881281696, -0.8463024281978893, -0.8566054208841405, -0.8662799867235851, -0.8753104776914472, -0.8836016019067049, -0.8916925850521792, -0.8988465643094563, -0.9056933327243315, -0.9118651606917174, -0.9172871609684143, -0.9223273406773962, -0.9275183691632021, -0.9326887755444331, -0.9380592937507057, -0.9430855955590911, -0.9478464918135665, -0.95273366716896, -0.9573110962405667, -0.9615561153746219, -0.9655946168550685, -0.9695073817751575, -0.9736979776419715, -0.9778959596433583, -0.9820021989690882, -0.9858771059072721, -0.9896223241183955, -0.9933606436271382, -0.9974196018631547, -1.0014702645068336, -1.005354264509468, -1.009529015049866, -1.0140187206002076, -1.0186565843998565, -1.023156881158567, -1.027854665478853]", "[0.0, 0.07575757575757576, 0.15151515151515152, 0.2272727272727273, 0.30303030303030304, 0.3787878787878788, 0.4545454545454546, 0.5303030303030303, 0.6060606060606061, 0.6818181818181819, 0.7575757575757576, 0.8333333333333333, 0.9090909090909092, 0.984848484848485, 1.0606060606060606, 1.1363636363636365, 1.2121212121212122, 1.2878787878787878, 1.3636363636363638, 1.4393939393939392, 1.5151515151515151, 1.590909090909091, 1.6666666666666665, 1.7424242424242424, 1.8181818181818183, 1.893939393939394, 1.96969696969697, 2.0454545454545454, 2.121212121212121, 2.196969696969697, 2.272727272727273, 2.3484848484848486, 2.4242424242424243, 2.5, 2.5757575757575757, 2.6515151515151514, 2.7272727272727275, 2.803030303030303, 2.8787878787878785, 2.9545454545454546, 3.0303030303030303, 3.106060606060606, 3.181818181818182, 3.257575757575758, 3.333333333333333, 3.409090909090909, 3.484848484848485, 3.5606060606060606, 3.6363636363636367, 3.7121212121212124, 3.787878787878788, 3.8636363636363633, 3.93939393939394, 4.015151515151516, 4.090909090909091, 4.166666666666667, 4.242424242424242, 4.318181818181818, 4.393939393939394, 4.46969696969697, 4.545454545454546, 4.621212121212121, 4.696969696969697, 4.7727272727272725, 4.848484848484849, 4.924242424242424, 5.0, 5.075757575757576, 5.151515151515151, 5.2272727272727275, 5.303030303030303, 5.378787878787879, 5.454545454545455, 5.53030303030303, 5.606060606060606, 5.681818181818182, 5.757575757575757, 5.833333333333333, 5.909090909090909, 5.984848484848485, 6.0606060606060606, 6.136363636363637, 6.212121212121212, 6.287878787878787, 6.363636363636364, 6.4393939393939394, 6.515151515151516, 6.590909090909091, 6.666666666666666, 6.742424242424242, 6.818181818181818, 6.8939393939393945, 6.96969696969697, 7.045454545454546, 7.121212121212121, 7.196969696969696, 7.272727272727273, 7.348484848484849, 7.424242424242425, 7.5]"
dgsem_SC_PP,3,64,"[-0.6302122830230725, -0.6302160405889132, -0.6302198074775276, -0.6302235964838047, -0.6302274123197964, -0.6302312744046084, -0.630235220818921, -0.6302393144645843, -0.6302436587233933, -0.6302484119940344, -0.6302538026331412, -0.6302601602315673, -0.6302682589950543, -0.6302801227390937, -0.6303006037189381, -0.6303392909979679, -0.6304066505079554, -0.6304987994377415, -0.6306205688997757, -0.6307801281957246, -0.6309955919116852, -0.6312672496547914, -0.6315942681279174, -0.6319618786985335, -0.6323900535937524, -0.6329030551776098, -0.6334837978464609, -0.6341293323042416, -0.6348419255684528, -0.6356165001767615, -0.6364816546252667, -0.6374360203177334, -0.6384735987697223, -0.6395693274567539, -0.6407436447422394, -0.6419980731939607, -0.6433417687297971, -0.6448013671959452, -0.6463694673692508, -0.6480854736287833, -0.6499802148785874, -0.6520398044720072, -0.654232562485238, -0.6565945731871261, -0.6591218574649831, -0.6617603136005753, -0.6645257230755437, -0.6674276425981532, -0.6704136007775106, -0.673467811882499, -0.6766184213917756, -0.6799755005765653, -0.6835338389517288, -0.6873855330509424, -0.6914936691064264, -0.6958012027259617, -0.7001241481339638, -0.704516501166027, -0.7091106807825932, -0.7138681473182122, -0.7187093560785607, -0.7237580242923242, -0.7292362458906858, -0.7352605305245018, -0.7415093432132166, -0.7474464106187385, -0.7532266743665271, -0.7592506812835145, -0.7656395830748272, -0.772393993132781, -0.7795382314342578, -0.7870455120880245, -0.7946876061539051, -0.8021039114639863, -0.8092884620077846, -0.8165031752151564, -0.8238101473788426, -0.8312137593259807, -0.8382311279647315, -0.8447624905370699, -0.8509791339144975, -0.8571287479587268, -0.8632930217238881, -0.8694670777163594, -0.8753816027345289, -0.8810716006561652, -0.8867202508675891, -0.8921111032773077, -0.8972332057165116, -0.9020884556809364, -0.9065858205098056, -0.9107783241657074, -0.9147509314844279, -0.9185621147023061, -0.9222877572452887, -0.9259840317485375, -0.9296239124295138, -0.9332563055259568, -0.9368907399696804, -0.9405968207676492]", "[0.0, 0.07575757575757576, 0.15151515151515152, 0.2272727272727273, 0.30303030303030304, 0.3787878787878788, 0.4545454545454546, 0.5303030303030303, 0.6060606060606061, 0.6818181818181819, 0.7575757575757576, 0.8333333333333333, 0.9090909090909092, 0.984848484848485, 1.0606060606060606, 1.1363636363636365, 1.2121212121212122, 1.2878787878787878, 1.3636363636363638, 1.4393939393939392, 1.5151515151515151, 1.590909090909091, 1.6666666666666665, 1.7424242424242424, 1.8181818181818183, 1.893939393939394, 1.96969696969697, 2.0454545454545454, 2.121212121212121, 2.196969696969697, 2.272727272727273, 2.3484848484848486, 2.4242424242424243, 2.5, 2.5757575757575757, 2.6515151515151514, 2.7272727272727275, 2.803030303030303, 2.8787878787878785, 2.9545454545454546, 3.0303030303030303, 3.106060606060606, 3.181818181818182, 3.257575757575758, 3.333333333333333, 3.409090909090909, 3.484848484848485, 3.5606060606060606, 3.6363636363636367, 3.7121212121212124, 3.787878787878788, 3.8636363636363633, 3.93939393939394, 4.015151515151516, 4.090909090909091, 4.166666666666667, 4.242424242424242, 4.318181818181818, 4.393939393939394, 4.46969696969697, 4.545454545454546, 4.621212121212121, 4.696969696969697, 4.7727272727272725, 4.848484848484849, 4.924242424242424, 5.0, 5.075757575757576, 5.151515151515151, 5.2272727272727275, 5.303030303030303, 5.378787878787879, 5.454545454545455, 5.53030303030303, 5.606060606060606, 5.681818181818182, 5.757575757575757, 5.833333333333333, 5.909090909090909, 5.984848484848485, 6.0606060606060606, 6.136363636363637, 6.212121212121212, 6.287878787878787, 6.363636363636364, 6.4393939393939394, 6.515151515151516, 6.590909090909091, 6.666666666666666, 6.742424242424242, 6.818181818181818, 6.8939393939393945, 6.96969696969697, 7.045454545454546, 7.121212121212121, 7.196969696969696, 7.272727272727273, 7.348484848484849, 7.424242424242425, 7.5]"
dgsem_SC_PP,7,32,"[-0.6302122828947443, -0.6302156702818711, -0.6302190656147733, -0.6302224745937373, -0.6302259024933344, -0.6302293603181076, -0.6302328687475718, -0.6302364594510498, -0.6302401745043607, -0.6302440725885792, -0.630248213097895, -0.6302526489070959, -0.6302574695767713, -0.6302627986377756, -0.6302687616610019, -0.6302754487942317, -0.6302830100967299, -0.630291718804854, -0.6303018375537933, -0.6303137300758977, -0.6303282801897285, -0.630347803158763, -0.630383338365927, -0.630469620235938, -0.6306352397884001, -0.6308977123403325, -0.6312121519849347, -0.6316001137685525, -0.6320392744439189, -0.6325410892225091, -0.6331695334767102, -0.633941850695473, -0.6347853749356118, -0.6356599182191192, -0.6365367999299651, -0.6374449291619284, -0.6384334150266053, -0.6394577580577634, -0.6405484110654971, -0.6417581849739498, -0.6431185831643311, -0.6446116582315187, -0.6461956427562119, -0.647976387073957, -0.6499295129270908, -0.6521129640993106, -0.6543541222539649, -0.656831811360803, -0.6594967036788862, -0.6624573405366737, -0.665544538885879, -0.6686819238869068, -0.6720108354789436, -0.6755569183240185, -0.6794682062594098, -0.6835598105825246, -0.687750157014227, -0.6919757204999959, -0.6964529435759554, -0.7011086084402136, -0.705975067560233, -0.7109653296967395, -0.7164408443203262, -0.7224502369056853, -0.7284398416795598, -0.7341708236423814, -0.7399251953969916, -0.7457038904469884, -0.7515985771360191, -0.7576494382927466, -0.7639038403467007, -0.77034463701863, -0.7768188772063728, -0.7834807912200962, -0.7905873703054784, -0.7977362614182011, -0.8051048444251969, -0.812428708492689, -0.8191782395657372, -0.8258380014649287, -0.8324600298224086, -0.8389254925698498, -0.8453365199475564, -0.851870878606247, -0.8582942478298776, -0.8644786364221029, -0.8706594809173648, -0.8769026133083706, -0.8828793976609951, -0.8884642703821228, -0.8937759518296475, -0.8988663563521306, -0.9037043980571362, -0.9083658231157363, -0.9129327388589081, -0.9173728882354086, -0.9217883330485155, -0.9262046432803769, -0.9306851951792912, -0.9351939191553607]", "[0.0, 0.07575757575757576, 0.15151515151515152, 0.2272727272727273, 0.30303030303030304, 0.3787878787878788, 0.4545454545454546, 0.5303030303030303, 0.6060606060606061, 0.6818181818181819, 0.7575757575757576, 0.8333333333333333, 0.9090909090909092, 0.984848484848485, 1.0606060606060606, 1.1363636363636365, 1.2121212121212122, 1.2878787878787878, 1.3636363636363638, 1.4393939393939392, 1.5151515151515151, 1.590909090909091, 1.6666666666666665, 1.7424242424242424, 1.8181818181818183, 1.893939393939394, 1.96969696969697, 2.0454545454545454, 2.121212121212121, 2.196969696969697, 2.272727272727273, 2.3484848484848486, 2.4242424242424243, 2.5, 2.5757575757575757, 2.6515151515151514, 2.7272727272727275, 2.803030303030303, 2.8787878787878785, 2.9545454545454546, 3.0303030303030303, 3.106060606060606, 3.181818181818182, 3.257575757575758, 3.333333333333333, 3.409090909090909, 3.484848484848485, 3.5606060606060606, 3.6363636363636367, 3.7121212121212124, 3.787878787878788, 3.8636363636363633, 3.93939393939394, 4.015151515151516, 4.090909090909091, 4.166666666666667, 4.242424242424242, 4.318181818181818, 4.393939393939394, 4.46969696969697, 4.545454545454546, 4.621212121212121, 4.696969696969697, 4.7727272727272725, 4.848484848484849, 4.924242424242424, 5.0, 5.075757575757576, 5.151515151515151, 5.2272727272727275, 5.303030303030303, 5.378787878787879, 5.454545454545455, 5.53030303030303, 5.606060606060606, 5.681818181818182, 5.757575757575757, 5.833333333333333, 5.909090909090909, 5.984848484848485, 6.0606060606060606, 6.136363636363637, 6.212121212121212, 6.287878787878787, 6.363636363636364, 6.4393939393939394, 6.515151515151516, 6.590909090909091, 6.666666666666666, 6.742424242424242, 6.818181818181818, 6.8939393939393945, 6.96969696969697, 7.045454545454546, 7.121212121212121, 7.196969696969696, 7.272727272727273, 7.348484848484849, 7.424242424242425, 7.5]"
dgsem_subcell,3,64,"[0.36161589725747234, 0.3616158969726957, 0.36161589587214804, 0.36161589396292637, 0.36161588990984006, 0.361615879947228, 0.3616158577902393, 0.3616158125244655, 0.3616157134573945, 0.36161549654061487, 0.36161509716489526, 0.3616143733011228, 0.36161278492407645, 0.3616092928405905, 0.36160300763365205, 0.36159312466950233, 0.36157304665027423, 0.3615262508790611, 0.3614481471611368, 0.36131751609087903, 0.36112653622133406, 0.36087543863007987, 0.36055919298226247, 0.36019645462292615, 0.35980203158948854, 0.3593722113367743, 0.35887731669648204, 0.35831513927139724, 0.35772656647939804, 0.3570616064010359, 0.3563277683204271, 0.35546399637523685, 0.3542808401845319, 0.35268677150537675, 0.35078646834017135, 0.34884869044112854, 0.34641061325340416, 0.34245072127037046, 0.3367858353773503, 0.3308152735141454, 0.32543424230378015, 0.31989549950389273, 0.3147132025162005, 0.3087473637760212, 0.3009900502238967, 0.2923920926797319, 0.2827279186327054, 0.2723734231604631, 0.26196256778113636, 0.2516880778063939, 0.24129971430682406, 0.2303468146453138, 0.21832753416888284, 0.20606286308060318, 0.19323139948400225, 0.18026013159244858, 0.16736263813161711, 0.15493496719297406, 0.142869465668801, 0.13109246370702676, 0.11927179922490971, 0.10800304194603827, 0.09728631371267804, 0.08688710767517671, 0.07730640503914232, 0.06856821239614108, 0.0605171753570688, 0.05302494113576195, 0.04592763335084227, 0.039006271572590734, 0.032214495492370876, 0.02531412899781449, 0.018782309506166772, 0.012396006058583708, 0.006131013186900791, 0.0]", "[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6, 0.7, 0.7999999999999999, 0.8999999999999999, 0.9999999999999999, 1.0999999999999999, 1.2, 1.3, 1.4000000000000001, 1.5000000000000002, 1.6000000000000003, 1.7000000000000004, 1.8000000000000005, 1.9000000000000006, 2.0000000000000004, 2.1000000000000005, 2.2000000000000006, 2.3000000000000007, 2.400000000000001, 2.500000000000001, 2.600000000000001, 2.700000000000001, 2.800000000000001, 2.9000000000000012, 3.0000000000000013, 3.1000000000000014, 3.2000000000000015, 3.3000000000000016, 3.4000000000000017, 3.5000000000000018, 3.600000000000002, 3.700000000000002, 3.800000000000002, 3.900000000000002, 4.000000000000002, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.4, 4.5, 4.6, 4.699999999999999, 4.799999999999999, 4.899999999999999, 4.999999999999998, 5.099999999999998, 5.1999999999999975, 5.299999999999997, 5.399999999999997, 5.4999999999999964, 5.599999999999996, 5.699999999999996, 5.799999999999995, 5.899999999999995, 5.999999999999995, 6.099999999999994, 6.199999999999994, 6.299999999999994, 6.399999999999993, 6.499999999999993, 6.5999999999999925, 6.699999999999992, 6.799999999999992, 6.8999999999999915, 6.999999999999991, 7.099999999999991, 7.19999999999999, 7.29999999999999, 7.39999999999999, 7.499999999999989]"
